-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100
-1.01647265324,-1.02780567889,-0.0745485237011,-1.01885357453,-1.01639217722,-1.03431470396
-1.02191774461,-1.04299315872,-0.105523743443,-1.03635341742,-1.04867979515,-1.02026587653
-1,-1.01473221858,-0.136682694637,-1.01108360293,-1.02773895887,-1.04094856809
-1.05806901732,-1.01409386019,-0.177194093837,-1.02834313432,-1.07146191028,-1.04342324652
-1.01664955702,-1.06003228404,-0.238749998497,-1.04157762102,-1.08876055629,-1.11757272082
-100,-100,-100,-100,-100,-100
-1.00075774085,-1.00742233955,-0.0654539056347,-1.00844588365,-1.0065505232,-1.0
-1,-1.02793122379,-0.107010374748,-1.02576811438,-1.01837720888,-1.03826509595
-1.04325411084,-1.07624463924,-0.156556385338,-1.00151288199,-1.01719875785,-1
-1.07424337587,-1.03461923768,-0.196156304209,-1.03807105799,-1.04698292468,-1.0472324181
-1.0138890347,-1.11587478203,-0.25817058554,-1.10236258731,-1.17554942991,-1.08433014379
-100,-100,-100,-100,-100,-100
-1.01403615017,-1.0020267509,-0.0380238674301,-1.00029398482,-1.000158794,-1
-1,-1.00893878597,-0.104769576504,-1.01880412071,-1.017612323,-1
-1.0127858282,-1.02770737237,-0.149204876863,-1,-1.04531132585,-1.03336094033
-1.02934735893,-1.06952315252,-0.207465196354,-1,-1,-1.02344666631
-1.0399217773,-1.04151007765,-0.260051258216,-1.04128151482,-1.13261515067,-1.02494700881
-100,-100,-100,-100,-100,-100
-1,-1,-0.00870787532289,-1,-1,-1
-1,-1.0,-0.0805399562932,-1.00001704236,-1.00462094447,-1.004192799
-1,-1.00024453181,-0.169634478791,-1.01461956885,-1.01480141161,-1.01926677409
-1,-1,-0.210395892833,-1.03715565962,-1.09817997248,-1.04135512741
-1.0406042083,-1.06344893591,-0.281264211119,-1.01175158858,-1.10456123745,-1.08399542411
-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-1
-1,-1.00570234519,-0.0590629633938,-1.0175777866,-1,-1
-1,-1,-0.149302439328,-1,-1,-1.01905014111
-1,-1,-0.273819136201,-1,-1.00505661586,-1
-1.00525197951,-1.02873633202,-0.30719776553,-1.09045026894,-1.06184840821,-1
-100,-100,-100,-100,-100,-100
